0x00000004,0x00000004,0x00000004,0x00000001,0x00000001,0x00000001,0x00000002,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000001,0x00000068,0x00000069,
0x00000005,0x00000005,0x00000005,0x00000001,0x00000001,0x00000001,0x00000002,0x00000002,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000068,0x00000069,
0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000002,0x00000002,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000068,0x00000069,
0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000002,0x00000002,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000068,0x00000069,
0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000002,0x00000002,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000068,0x00000069,
0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000002,0x00000002,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000068,0x00000069,
0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000002,0x00000002,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000068,0x00000069,
0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000002,0x00000002,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000068,0x00000069,
0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000068,0x00000069,
0x00000001,0x00000001,0x00000000,0x00000002,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000068,0x00000069,
0x0000006A,0x0000006B,0x0000006C,0x0000006D,0x0000006E,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000068,0x00000069,
0x00000068,0x00000069,0x0000006C,0x0000006F,0x00000070,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000068,0x00000069,
0x00000068,0x00000069,0x0000006C,0x0000006F,0x00000070,0x00000001,0x00000001,0x00000001,0x00000001,0x00000006,0x00000007,0x00000001,0x00000001,0x00000068,0x00000069,
0x00000068,0x00000069,0x0000006C,0x0000006F,0x00000070,0x00000001,0x00000001,0x00000001,0x00000001,0x00000008,0x00000009,0x00000001,0x00000001,0x00000068,0x00000069,
0x00000068,0x00000069,0x0000006C,0x0000006F,0x00000070,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000068,0x00000069,
0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,
