0x00000000,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000000,
0x00000000,0x00000005,0x00000005,0x00000005,0x00000005,0x00000005,0x00000005,0x00000005,0x00000005,0x00000005,0x00000005,0x00000005,0x00000005,0x00000005,0x00000000,
0x00000000,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,
0x00000000,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,
0x00000000,0x00000001,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000001,0x00000001,0x00000000,
0x00000000,0x00000001,0x00000002,0x00000021,0x00000021,0x00000021,0x00000021,0x00000021,0x00000021,0x00000021,0x00000021,0x00000002,0x00000001,0x00000001,0x00000004,
0x00000000,0x00000001,0x00000002,0x00000021,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000021,0x00000002,0x00000001,0x00000001,0x00000005,
0x00000000,0x00000001,0x00000002,0x00000021,0x00000000,0x00000022,0x00000023,0x00000024,0x00000025,0x00000000,0x00000021,0x00000002,0x00000002,0x00000002,0x00000002,
0x00000000,0x00000001,0x00000002,0x00000021,0x00000000,0x00000026,0x00000027,0x00000022,0x00000023,0x00000000,0x00000021,0x00000002,0x00000001,0x00000001,0x00000001,
0x00000000,0x00000001,0x00000002,0x00000021,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000021,0x00000002,0x00000001,0x00000001,0x00000000,
0x00000000,0x00000001,0x00000002,0x00000021,0x00000021,0x00000021,0x00000021,0x00000021,0x00000021,0x00000021,0x00000021,0x00000002,0x00000001,0x00000001,0x00000000,
0x00000000,0x00000001,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000001,0x00000001,0x00000000,
0x00000000,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,
0x00000000,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,
0x00000000,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,
0x00000000,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000000,
