0x00000000,0x00000004,0x00000004,0x00000004,0x00000004,0x00000001,0x00000002,0x00000002,0x00000001,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000000,
0x00000000,0x00000005,0x00000005,0x00000005,0x00000005,0x00000001,0x00000002,0x00000002,0x00000001,0x00000005,0x00000005,0x00000005,0x00000005,0x00000005,0x00000000,
0x00000000,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,
0x00000000,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,
0x00000000,0x00000001,0x00000001,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000001,0x00000000,
0x00000000,0x00000001,0x00000001,0x00000002,0x00000021,0x00000021,0x00000021,0x00000021,0x00000021,0x00000021,0x00000021,0x00000021,0x00000002,0x00000001,0x00000000,
0x00000000,0x00000001,0x00000001,0x00000002,0x00000021,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000021,0x00000002,0x00000001,0x00000000,
0x00000000,0x00000001,0x00000001,0x00000002,0x00000021,0x00000000,0x00000028,0x00000028,0x00000028,0x00000028,0x00000000,0x00000021,0x00000002,0x00000002,0x00000000,
0x00000000,0x00000001,0x00000001,0x00000002,0x00000021,0x00000000,0x00000028,0x00000028,0x00000028,0x00000028,0x00000000,0x00000021,0x00000002,0x00000001,0x00000000,
0x00000000,0x00000001,0x00000001,0x00000002,0x00000021,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000021,0x00000002,0x00000001,0x00000000,
0x00000000,0x00000001,0x00000001,0x00000002,0x00000021,0x00000021,0x00000021,0x00000021,0x00000021,0x00000021,0x00000021,0x00000021,0x00000002,0x00000001,0x00000000,
0x00000000,0x00000001,0x00000001,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000001,0x00000000,
0x00000000,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,
0x00000000,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,
0x00000000,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,
0x00000000,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000000,
