0x0000004D,0x0000004E,0x0000004B,0x0000004B,0x0000004B,0x0000004B,0x0000004B,0x0000004B,0x0000004B,0x0000004B,0x0000004B,0x0000004B,0x0000004B,0x0000004B,0x0000004B,
0x0000004F,0x00000050,0x0000004C,0x0000004C,0x0000004C,0x0000004C,0x0000004C,0x0000004C,0x0000004C,0x0000004C,0x0000004C,0x0000004C,0x0000004C,0x0000004C,0x0000004C,
0x00000043,0x00000044,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,
0x00000043,0x00000044,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x00000038,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,
0x00000043,0x00000044,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x00000038,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,
0x00000043,0x00000044,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x00000038,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,
0x00000052,0x00000053,0x0000002A,0x0000002A,0x0000002A,0x00000038,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,
0x00000054,0x00000055,0x0000002A,0x0000002A,0x0000002A,0x00000001,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,
0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x00000041,0x00000042,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,
0x00000001,0x00000039,0x0000002A,0x0000002A,0x0000002A,0x00000056,0x00000057,0x0000004B,0x0000004B,0x0000004B,0x0000004B,0x0000004B,0x0000004B,0x0000004B,0x0000004B,
0x00000001,0x00000001,0x00000001,0x00000039,0x0000002A,0x0000005A,0x0000005B,0x0000004C,0x0000004C,0x0000004C,0x0000004C,0x0000004C,0x0000004C,0x0000004C,0x0000004C,
0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000039,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,
0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000006,0x00000007,0x00000039,0x0000002A,
0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000008,0x00000009,0x00000001,0x00000039,
0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,
0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x0000005F,0x00000004,
